course_code,pre_req_course_code
ENC-1102,ENC-1101
ARH-2051,ARH-2050
LIT-2000,ENC-1101
LIT-2120,ENC-1101
LIT-2120,ENC-1102
MUH-2112,MUH-2111
PHI-2010,ENC-1101
PHI-2604,ENC-1101
BSC-2010,CHM-1045
BSC-2085,BSC-2085L
PSC-1121,MAT-1033
CHM-1045,CHM-1025
CHM-1045,MAC-1105
PHY-2048,MAC-2311
PHY-2048,PHY-1025
PHY-2053,MAC-1147
PHY-2053,MAC-1114
PHY-2053,MAC-1140
PCB-2033,PSC-1515
MAC-1105,MAT-1033
STA-2023,MAT-1033
ECO-2023,MAT-1033
COP-1334,CGS-1060C
COP-2800,COP-1334
MAD-1100,MAC-1105
MAD-2104,MAC-1106
CGS-3763,COP-1334
CIS-3360,CTS-1134
CET-3383C,COP-2800
CEN-4025C,CET-3383C
COP-3530,COP-2800
COT-4400,COP-2800
CIS-4347,CGS-1540C
CNT-3409C,CIS-3360
CNT-3526C,CTS-1134
CNT-4603,CTS-1134
CNT-4702,CIS-3360
